id;nombre;direccion;telefono;horario;SQL
43;Jabbersphere;9 Bluejay Terrace;8526295283;13:00 - 21:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (43, 'Jabbersphere', '9 Bluejay Terrace', '8526295283', '13:00 - 21:00');"
44;Browsedrive;981 Farwell Road;1776994694;13:00 - 21:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (44, 'Browsedrive', '981 Farwell Road', '1776994694', '13:00 - 21:00');"
45;Thoughtstorm;59402 Pleasure Alley;9689012534;11:00 - 19:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (45, 'Thoughtstorm', '59402 Pleasure Alley', '9689012534', '11:00 - 19:00');"
46;Kamba;678 Algoma Junction;6584858650;09:00 - 17:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (46, 'Kamba', '678 Algoma Junction', '6584858650', '09:00 - 17:00');"
47;Kwinu;47 Sunbrook Pass;9661011502;12:00 - 20:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (47, 'Kwinu', '47 Sunbrook Pass', '9661011502', '12:00 - 20:00');"
48;Eazzy;7108 Knutson Pass;9195461321;11:00 - 19:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (48, 'Eazzy', '7108 Knutson Pass', '9195461321', '11:00 - 19:00');"
49;Demimbu;811 Schurz Court;5171177576;11:00 - 19:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (49, 'Demimbu', '811 Schurz Court', '5171177576', '11:00 - 19:00');"
50;Avamm;06 Mcguire Park;9227793733;06:00 - 14:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (50, 'Avamm', '06 Mcguire Park', '9227793733', '06:00 - 14:00');"
51;Blognation;798 Mitchell Way;3125268982;10:00 - 18:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (51, 'Blognation', '798 Mitchell Way', '3125268982', '10:00 - 18:00');"
52;Yabox;98334 Mayer Circle;2659594769;13:00 - 21:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (52, 'Yabox', '98334 Mayer Circle', '2659594769', '13:00 - 21:00');"
53;Dabvine;1316 Main Parkway;1306718274;09:00 - 17:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (53, 'Dabvine', '1316 Main Parkway', '1306718274', '09:00 - 17:00');"
54;Babbleopia;4363 Onsgard Crossing;7989238760;10:00 - 18:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (54, 'Babbleopia', '4363 Onsgard Crossing', '7989238760', '10:00 - 18:00');"
55;Skiptube;2 4th Place;8417581488;10:00 - 18:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (55, 'Skiptube', '2 4th Place', '8417581488', '10:00 - 18:00');"
56;Skyble;13 Magdeline Place;1301231856;09:00 - 17:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (56, 'Skyble', '13 Magdeline Place', '1301231856', '09:00 - 17:00');"
57;Cogibox;3650 Leroy Center;4979616802;12:00 - 20:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (57, 'Cogibox', '3650 Leroy Center', '4979616802', '12:00 - 20:00');"
58;Muxo;51086 Florence Place;1508333377;11:00 - 19:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (58, 'Muxo', '51086 Florence Place', '1508333377', '11:00 - 19:00');"
59;Kayveo;81904 Fremont Court;7985424833;07:00 - 15:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (59, 'Kayveo', '81904 Fremont Court', '7985424833', '07:00 - 15:00');"
60;Tazzy;32 Summer Ridge Circle;2245276696;12:00 - 20:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (60, 'Tazzy', '32 Summer Ridge Circle', '2245276696', '12:00 - 20:00');"
61;Bubblemix;95561 Clove Circle;9099070566;11:00 - 19:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (61, 'Bubblemix', '95561 Clove Circle', '9099070566', '11:00 - 19:00');"
62;Roomm;5927 Quincy Place;2446524746;09:00 - 17:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (62, 'Roomm', '5927 Quincy Place', '2446524746', '09:00 - 17:00');"
63;Yodel;71 Hayes Junction;5891552206;07:00 - 15:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (63, 'Yodel', '71 Hayes Junction', '5891552206', '07:00 - 15:00');"
64;Ooba;153 Sunnyside Road;7495354106;12:00 - 20:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (64, 'Ooba', '153 Sunnyside Road', '7495354106', '12:00 - 20:00');"
65;Livepath;68672 Cottonwood Drive;9136140750;10:00 - 18:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (65, 'Livepath', '68672 Cottonwood Drive', '9136140750', '10:00 - 18:00');"
66;Zazio;37 Hollow Ridge Crossing;6039611934;09:00 - 17:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (66, 'Zazio', '37 Hollow Ridge Crossing', '6039611934', '09:00 - 17:00');"
67;Rhybox;5000 7th Road;5397493817;07:00 - 15:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (67, 'Rhybox', '5000 7th Road', '5397493817', '07:00 - 15:00');"
68;Ozu;80271 Sutteridge Circle;7839267044;08:00 - 16:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (68, 'Ozu', '80271 Sutteridge Circle', '7839267044', '08:00 - 16:00');"
69;Aivee;8 Oakridge Point;9024563314;08:00 - 16:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (69, 'Aivee', '8 Oakridge Point', '9024563314', '08:00 - 16:00');"
70;Livepath;582 Sutherland Park;8545790415;11:00 - 19:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (70, 'Livepath', '582 Sutherland Park', '8545790415', '11:00 - 19:00');"
71;Jetwire;2693 Del Sol Parkway;2107296318;06:00 - 14:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (71, 'Jetwire', '2693 Del Sol Parkway', '2107296318', '06:00 - 14:00');"
72;Quire;6 Brickson Park Pass;5791203362;11:00 - 19:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (72, 'Quire', '6 Brickson Park Pass', '5791203362', '11:00 - 19:00');"
73;Fatz;72452 Fuller Alley;1204003427;06:00 - 14:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (73, 'Fatz', '72452 Fuller Alley', '1204003427', '06:00 - 14:00');"
74;Edgetag;933 Burning Wood Hill;6456203459;13:00 - 21:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (74, 'Edgetag', '933 Burning Wood Hill', '6456203459', '13:00 - 21:00');"
75;Livefish;369 Old Shore Trail;1704185491;07:00 - 15:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (75, 'Livefish', '369 Old Shore Trail', '1704185491', '07:00 - 15:00');"
76;Trupe;6 Merrick Parkway;2579212898;08:00 - 16:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (76, 'Trupe', '6 Merrick Parkway', '2579212898', '08:00 - 16:00');"
77;Wikivu;975 Kings Alley;4927320246;09:00 - 17:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (77, 'Wikivu', '975 Kings Alley', '4927320246', '09:00 - 17:00');"
78;Roombo;1 Eliot Parkway;7895791621;12:00 - 20:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (78, 'Roombo', '1 Eliot Parkway', '7895791621', '12:00 - 20:00');"
79;Fanoodle;6752 Iowa Point;9898695741;07:00 - 15:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (79, 'Fanoodle', '6752 Iowa Point', '9898695741', '07:00 - 15:00');"
80;Bubblemix;14509 Oak Avenue;1123372847;09:00 - 17:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (80, 'Bubblemix', '14509 Oak Avenue', '1123372847', '09:00 - 17:00');"
81;Jaxnation;7578 Victoria Hill;8124526828;11:00 - 19:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (81, 'Jaxnation', '7578 Victoria Hill', '8124526828', '11:00 - 19:00');"
82;Omba;96362 Elka Crossing;9062575992;12:00 - 20:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (82, 'Omba', '96362 Elka Crossing', '9062575992', '12:00 - 20:00');"
83;Blogspan;0186 Evergreen Lane;7055742399;07:00 - 15:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (83, 'Blogspan', '0186 Evergreen Lane', '7055742399', '07:00 - 15:00');"
84;Fiveclub;04 Northwestern Point;7934355382;09:00 - 17:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (84, 'Fiveclub', '04 Northwestern Point', '7934355382', '09:00 - 17:00');"
85;Youfeed;30 Forster Hill;6241502648;10:00 - 18:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (85, 'Youfeed', '30 Forster Hill', '6241502648', '10:00 - 18:00');"
86;Talane;07 Reinke Terrace;2299511256;06:00 - 14:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (86, 'Talane', '07 Reinke Terrace', '2299511256', '06:00 - 14:00');"
87;Photojam;50197 Crownhardt Alley;1638473759;11:00 - 19:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (87, 'Photojam', '50197 Crownhardt Alley', '1638473759', '11:00 - 19:00');"
88;Fivespan;026 Kipling Hill;5579607360;08:00 - 16:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (88, 'Fivespan', '026 Kipling Hill', '5579607360', '08:00 - 16:00');"
89;Leexo;04127 Messerschmidt Crossing;4319762429;13:00 - 21:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (89, 'Leexo', '04127 Messerschmidt Crossing', '4319762429', '13:00 - 21:00');"
90;Quimba;94 Acker Place;7011613931;11:00 - 19:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (90, 'Quimba', '94 Acker Place', '7011613931', '11:00 - 19:00');"
91;Yakitri;3 Rigney Drive;7105625606;13:00 - 21:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (91, 'Yakitri', '3 Rigney Drive', '7105625606', '13:00 - 21:00');"
92;Skivee;342 Sage Road;9866498608;09:00 - 17:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (92, 'Skivee', '342 Sage Road', '9866498608', '09:00 - 17:00');"
93;Dablist;66 Schlimgen Junction;1781023170;09:00 - 17:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (93, 'Dablist', '66 Schlimgen Junction', '1781023170', '09:00 - 17:00');"
94;Quimm;181 Eastwood Hill;9314263326;07:00 - 15:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (94, 'Quimm', '181 Eastwood Hill', '9314263326', '07:00 - 15:00');"
95;Twitterwire;78 Westerfield Trail;4071196929;06:00 - 14:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (95, 'Twitterwire', '78 Westerfield Trail', '4071196929', '06:00 - 14:00');"
96;Yabox;3801 Maple Lane;7687440826;07:00 - 15:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (96, 'Yabox', '3801 Maple Lane', '7687440826', '07:00 - 15:00');"
97;Meejo;55 Ramsey Trail;9853956614;07:00 - 15:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (97, 'Meejo', '55 Ramsey Trail', '9853956614', '07:00 - 15:00');"
98;Linklinks;817 Redwing Circle;9107568704;08:00 - 16:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (98, 'Linklinks', '817 Redwing Circle', '9107568704', '08:00 - 16:00');"
99;Skippad;56838 Randy Alley;6214349643;13:00 - 21:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (99, 'Skippad', '56838 Randy Alley', '6214349643', '13:00 - 21:00');"
100;Realmix;93263 Goodland Drive;8741910473;10:00 - 18:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (100, 'Realmix', '93263 Goodland Drive', '8741910473', '10:00 - 18:00');"
101;Ozu;29540 Delladonna Plaza;5949194559;07:00 - 15:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (101, 'Ozu', '29540 Delladonna Plaza', '5949194559', '07:00 - 15:00');"
102;Fanoodle;647 Blackbird Court;7752906607;09:00 - 17:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (102, 'Fanoodle', '647 Blackbird Court', '7752906607', '09:00 - 17:00');"
103;Youbridge;128 Lakeland Terrace;9532294532;11:00 - 19:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (103, 'Youbridge', '128 Lakeland Terrace', '9532294532', '11:00 - 19:00');"
104;Gabvine;3718 Nobel Pass;8392834546;07:00 - 15:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (104, 'Gabvine', '3718 Nobel Pass', '8392834546', '07:00 - 15:00');"
105;Nlounge;07345 Macpherson Plaza;5506797774;10:00 - 18:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (105, 'Nlounge', '07345 Macpherson Plaza', '5506797774', '10:00 - 18:00');"
106;Gigazoom;72 Hintze Point;9694840758;12:00 - 20:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (106, 'Gigazoom', '72 Hintze Point', '9694840758', '12:00 - 20:00');"
107;Bubblemix;97828 Goodland Alley;3434286705;06:00 - 14:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (107, 'Bubblemix', '97828 Goodland Alley', '3434286705', '06:00 - 14:00');"
108;Kaymbo;2 Harper Avenue;8378780646;13:00 - 21:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (108, 'Kaymbo', '2 Harper Avenue', '8378780646', '13:00 - 21:00');"
109;Tekfly;53 Redwing Plaza;4739103928;06:00 - 14:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (109, 'Tekfly', '53 Redwing Plaza', '4739103928', '06:00 - 14:00');"
110;Browsedrive;152 Duke Terrace;2874801904;08:00 - 16:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (110, 'Browsedrive', '152 Duke Terrace', '2874801904', '08:00 - 16:00');"
111;Zoomlounge;5 Morning Park;8665833372;10:00 - 18:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (111, 'Zoomlounge', '5 Morning Park', '8665833372', '10:00 - 18:00');"
112;Rhyloo;241 Dawn Court;8754367342;12:00 - 20:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (112, 'Rhyloo', '241 Dawn Court', '8754367342', '12:00 - 20:00');"
113;Zooxo;61422 Pond Way;6545523443;10:00 - 18:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (113, 'Zooxo', '61422 Pond Way', '6545523443', '10:00 - 18:00');"
114;Zoomcast;6 Porter Hill;8203265322;13:00 - 21:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (114, 'Zoomcast', '6 Porter Hill', '8203265322', '13:00 - 21:00');"
115;Devbug;8 Pleasure Parkway;1964495805;08:00 - 16:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (115, 'Devbug', '8 Pleasure Parkway', '1964495805', '08:00 - 16:00');"
116;Trunyx;29144 Toban Lane;1743884166;06:00 - 14:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (116, 'Trunyx', '29144 Toban Lane', '1743884166', '06:00 - 14:00');"
117;Twinder;2 Clemons Way;2343129404;12:00 - 20:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (117, 'Twinder', '2 Clemons Way', '2343129404', '12:00 - 20:00');"
118;Gabcube;949 Vermont Terrace;7597244571;06:00 - 14:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (118, 'Gabcube', '949 Vermont Terrace', '7597244571', '06:00 - 14:00');"
119;Quimba;6971 Blue Bill Park Circle;3443792658;13:00 - 21:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (119, 'Quimba', '6971 Blue Bill Park Circle', '3443792658', '13:00 - 21:00');"
120;Riffwire;751 Namekagon Avenue;2116885652;06:00 - 14:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (120, 'Riffwire', '751 Namekagon Avenue', '2116885652', '06:00 - 14:00');"
121;Meembee;53 Holmberg Alley;8539325933;09:00 - 17:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (121, 'Meembee', '53 Holmberg Alley', '8539325933', '09:00 - 17:00');"
122;Meembee;80573 Merry Road;7066695096;07:00 - 15:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (122, 'Meembee', '80573 Merry Road', '7066695096', '07:00 - 15:00');"
123;Realblab;93 Morningstar Center;1627401565;07:00 - 15:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (123, 'Realblab', '93 Morningstar Center', '1627401565', '07:00 - 15:00');"
124;Eadel;2711 American Ash Alley;3084639819;10:00 - 18:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (124, 'Eadel', '2711 American Ash Alley', '3084639819', '10:00 - 18:00');"
125;Mymm;0207 Miller Pass;9736496569;13:00 - 21:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (125, 'Mymm', '0207 Miller Pass', '9736496569', '13:00 - 21:00');"
